ID,Indoor.Total.Illumin.Diff.pct.,Indoor.Total.Illumin.Diff.,Hour.number,Natural.Illuminance.,Outdoor.Sky.Clearness.,Since.DR.Started.,Lighting.Power.Diff.,Lighting.Power.Diff.pct.One.Step.
33,0.361582405,275.64768,16,368.554695,1.000354931,2,0.56,0
33,0.36379928,153.1376,17,202.1718103,1.001978475,3,0.315,0
33,0.324618187,275.64768,15,455.3618914,1.003487238,1,0.56,0.7
33,0.380228552,275.64768,16,331.1702078,1.002409647,2,0.56,0
33,0.37942252,153.1376,17,184.8390392,1.002469687,3,0.315,0
33,0.472594032,275.64768,15,189.4828579,2.606522072,1,0.56,0.7
33,0.451056483,275.64768,16,217.3332598,2.634102558,2,0.56,0
33,0.26316833,153.1376,17,363.1318044,2.233004903,3,0.315,0
33,0.45984358,275.64768,15,205.6555224,1.40281265,1,0.56,0.7
33,0.489583934,275.64768,16,169.2419573,1.427149016,2,0.56,0
33,0.336170084,153.1376,17,236.7680728,1.459850716,3,0.315,0
33,0.492741609,275.64768,15,165.6338842,4.239383626,1,0.56,0.7
33,0.472560804,275.64768,16,189.5238706,3.95319956,2,0.56,0
33,0.26807497,153.1376,17,352.4811544,3.626925601,3,0.315,0
33,0.443609501,275.64768,15,227.5922081,2.276696959,1,0.56,0.7
33,0.433735233,275.64768,16,241.7382103,1.614722167,2,0.56,0
33,0.322897278,153.1376,17,255.4930428,1.309293731,3,0.315,0
33,0.480999795,275.64768,15,179.2899441,4.115768237,1,0.56,0.7
33,0.476682847,275.64768,16,184.4798169,3.563597795,2,0.56,0
33,0.261309562,153.1376,17,367.2710204,3.09173655,3,0.315,0
33,0.514448175,275.64768,15,142.0299386,6.148502184,1,0.56,0.7
33,0.514344857,275.64768,16,142.1375689,5.871725621,2,0.56,0
33,0.252044383,153.1376,17,388.8138798,4.155580159,3,0.315,0
33,0.479259403,275.64768,15,181.3710105,3.08080924,1,0.56,0.7
33,0.456365673,275.64768,16,210.2237647,1.30044983,2,0.56,0
33,0.388107705,153.1376,17,175.807006,1.197573852,3,0.315,0
33,0.489713171,275.64768,15,169.0933739,4.280658117,1,0.56,0.7
33,0.478643752,275.64768,16,182.1107961,4.619975056,2,0.56,0
33,0.226457302,153.1376,17,457.463671,3.437750544,3,0.315,0
33,0.508438621,275.64768,15,148.3630399,5.313908422,1,0.56,0.7
33,0.462273095,275.64768,16,202.5051261,3.509758804,2,0.56,0
33,0.267526881,153.1376,17,353.6514871,3.229050202,3,0.315,0
33,0.462612727,275.64768,15,202.0673548,3.287025271,1,0.56,0.7
33,0.42733732,275.64768,16,251.2529557,1.796166704,2,0.56,0
33,0.329014671,153.1376,17,246.6750739,1.647835423,3,0.315,0
33,0.475497308,275.64768,15,185.9215761,1.754452738,1,0.56,0.7
33,0.462578889,275.64768,16,202.1109415,1.705792138,2,0.56,0
33,0.232780928,153.1376,17,439.0934538,3.138839128,3,0.315,0
33,0.493460267,275.64768,15,164.8191702,1.794266919,1,0.56,0.7
33,0.454340017,275.64768,16,212.9167011,2.649144156,2,0.56,0
33,0.265136426,153.1376,17,358.8123896,1.999798468,3,0.315,0
33,0.441698357,275.64768,15,230.2807773,1.623955916,1,0.56,0.7
33,0.458520474,275.64768,16,207.3852592,1.276589284,2,0.56,0
33,0.405793954,153.1376,17,158.6097272,1.086485894,3,0.315,0
33,0.433755213,275.64768,15,241.7089369,1.375034126,1,0.56,0.7
33,0.461188998,275.64768,16,203.9067934,1.417268819,2,0.56,0
33,0.413629368,153.1376,17,151.461031,1.489480348,3,0.315,0
33,0.486932024,275.64768,15,172.3082785,1.241359199,1,0.56,0.7
33,0.451990097,275.64768,16,216.070961,1.164722424,2,0.56,0
33,0.351963484,153.1376,17,216.3271357,1.345289345,3,0.315,0
33,0.508393536,275.64768,15,148.4111189,1.089039455,1,0.56,0.7
33,0.512778349,275.64768,16,143.7747741,0.999999712,2,0.56,0
33,0.494791796,153.1376,17,90.73106832,0.999999656,3,0.315,0
33,0.498471659,275.64768,15,159.203261,1.02766054,1,0.56,0.7
33,0.515699959,275.64768,16,140.7293354,0.999999716,2,0.56,0
33,0.461006555,153.1376,17,113.4129602,0.999999709,3,0.315,0
33,0.443631934,275.64768,15,227.5607878,1.743682439,1,0.56,0.7
33,0.44695754,275.64768,16,222.9376579,1.436958505,2,0.56,0
33,0.39457704,153.1376,17,169.3377041,1.221262464,3,0.315,0
33,0.487910308,275.64768,15,171.1732392,1.219221029,1,0.56,0.7
33,0.428944419,275.64768,16,248.8362417,1.245405008,2,0.56,0
33,0.347903873,153.1376,17,221.4041623,1.161848755,3,0.315,0
33,0.459964939,275.64768,15,205.4973642,3.691377904,1,0.56,0.7
33,0.47525654,275.64768,16,186.2152574,3.645115311,2,0.56,0
33,0.283337733,153.1376,17,321.7092541,2.424432574,3,0.315,0
33,0.447436987,275.64768,15,222.2768168,1.797879937,1,0.56,0.7
33,0.462218786,275.64768,16,202.5751875,1.262715603,2,0.56,0
33,0.397851531,153.1376,17,166.1434255,1.151010112,3,0.315,0
33,0.4731327,275.64768,15,188.8188029,3.439235228,1,0.56,0.7
33,0.471930934,275.64768,16,190.3023885,3.087942777,2,0.56,0
33,0.350765018,153.1376,17,217.8137344,1.509026097,3,0.315,0
33,0.440873578,275.64768,15,231.4482641,1.856809868,1,0.56,0.7
33,0.430882401,275.64768,16,245.945933,1.342786871,2,0.56,0
33,0.318424805,153.1376,17,262.1543325,1.157275431,3,0.315,0
33,0.379917041,275.64768,15,331.7646272,1.564029244,1,0.56,0.7
33,0.419493989,275.64768,16,263.3132605,1.378497709,2,0.56,0
33,0.289971678,153.1376,17,309.3442658,1.172705517,3,0.315,0
33,0.434047664,275.64768,15,241.2807582,2.237547521,1,0.56,0.7
33,0.432935021,275.64768,16,242.9128698,1.732358816,2,0.56,0
33,0.287701683,153.1376,17,313.5111256,1.669440191,3,0.315,0
33,0.489677405,275.64768,15,169.1344861,4.395963176,1,0.56,0.7
33,0.431598639,275.64768,16,244.8843036,2.310736789,2,0.56,0
33,0.269092156,153.1376,17,350.3217947,2.100073633,3,0.315,0
33,0.480203914,275.64768,15,180.2397435,4.068011892,1,0.56,0.7
33,0.471487059,275.64768,16,190.8522676,3.617711615,2,0.56,0
33,0.251551241,153.1376,17,390.0049855,3.482606976,3,0.315,0
33,0.478927517,275.64768,15,181.7695786,1.658040503,1,0.56,0.7
33,0.454550368,275.64768,16,212.6359406,1.367206422,2,0.56,0
33,0.338184481,153.1376,17,234.0546716,1.327130625,3,0.315,0
33,0.534533056,275.64768,15,121.8969898,0.999999644,1,0.56,0.7
33,0.519302516,275.64768,16,137.0212675,1.132251715,2,0.56,0
33,0.318668815,153.1376,17,261.7860829,1.50402523,3,0.315,0
33,0.458986205,275.64768,15,206.7752572,2.919052455,1,0.56,0.7
33,0.456177312,275.64768,16,210.4731657,2.862808681,2,0.56,0
33,0.301234639,153.1376,17,289.598503,1.955136024,3,0.315,0
33,0.495930465,275.64768,15,162.0368114,1.315576263,1,0.56,0.7
33,0.499532807,275.64768,16,158.0285646,1.203566915,2,0.56,0
33,0.390538063,153.1376,17,173.3515255,1.084921028,3,0.315,0
33,0.532178998,275.64768,15,124.1780627,1.567575191,1,0.56,0.7
33,0.514810343,275.64768,16,141.6529967,1.328949497,2,0.56,0
33,0.330877104,153.1376,17,244.0551996,1.386420467,3,0.315,0
33,0.489871558,275.64768,15,168.9113827,3.649113332,1,0.56,0.7
33,0.480888604,275.64768,16,179.4224503,3.370968417,2,0.56,0
33,0.375106282,153.1376,17,189.4832272,1.450104289,3,0.315,0
33,0.446615285,275.64768,15,223.4102702,2.918187392,1,0.56,0.7
33,0.428985089,275.64768,16,248.775319,2.314632032,2,0.56,0
33,0.2643448,153.1376,17,360.5420533,2.371208915,3,0.315,0
33,0.45012123,275.64768,15,218.6030236,2.381494386,1,0.56,0.7
33,0.461212932,275.64768,16,203.8757762,1.303105346,2,0.56,0
33,0.413781585,153.1376,17,151.3248353,1.090082612,3,0.315,0
33,0.449520414,275.64768,15,219.4215204,2.183648964,1,0.56,0.7
33,0.481897698,275.64768,16,178.2221588,1.968845447,2,0.56,0
33,0.261562876,153.1376,17,366.7034633,2.226737243,3,0.315,0
33,0.436600977,275.64768,15,237.5668057,2.56780054,1,0.56,0.7
33,0.452194584,275.64768,16,215.79518,2.21951305,2,0.56,0
33,0.432599518,153.1376,17,135.225922,1.134493876,3,0.315,0
33,0.531504585,275.64768,15,124.83529,0.99999964,1,0.56,0.7
33,0.529286194,275.64768,16,127.0089659,0.999999659,2,0.56,0
33,0.455654949,153.1376,17,117.3143807,0.999999708,3,0.315,0
33,0.478662582,275.64768,15,182.0881411,1.751129873,1,0.56,0.7
33,0.468008202,275.64768,16,195.1980476,1.316895892,2,0.56,0
33,0.336784022,153.1376,17,235.9376574,1.495452388,3,0.315,0
33,0.439877241,275.64768,15,232.8644335,1.638089932,1,0.56,0.7
33,0.439221582,275.64768,16,233.7998752,1.242312028,2,0.56,0
33,0.317027637,153.1376,17,264.2737991,1.19035828,3,0.315,0
33,0.477765003,275.64768,15,183.1700308,1.492148922,1,0.56,0.7
33,0.429273099,275.64768,16,248.3442107,1.51802859,2,0.56,0
33,0.466466748,153.1376,17,109.5246395,1.071904736,3,0.315,0
33,0.463432843,275.64768,15,201.0129069,1.300708281,1,0.56,0.7
33,0.457669763,275.64768,16,208.5027024,1.471718436,2,0.56,0
33,0.395210922,153.1376,17,168.7152186,1.24584275,3,0.315,0
33,0.42622187,275.64768,15,252.9410543,1.694505314,1,0.56,0.7
33,0.424634463,275.64768,16,255.3586944,1.289784511,2,0.56,0
33,0.424711363,153.1376,17,141.8006435,1.196344894,3,0.315,0
33,0.466584435,275.64768,15,196.9953018,3.686505305,1,0.56,0.7
33,0.465752181,275.64768,16,198.050964,3.111716278,2,0.56,0
33,0.249794682,153.1376,17,394.2858832,2.507587241,3,0.315,0
33,0.493092364,275.64768,15,165.2359504,1.398328794,1,0.56,0.7
33,0.483894978,275.64768,16,175.8612059,1.622640695,2,0.56,0
33,0.367254407,153.1376,17,198.2116119,1.292401498,3,0.315,0
33,0.463562911,275.64768,15,200.8460168,3.107215803,1,0.56,0.7
33,0.441506321,275.64768,16,230.5522167,2.608990506,2,0.56,0
33,0.256677582,153.1376,17,377.8466284,2.316454359,3,0.315,0
33,0.44318856,275.64768,15,228.1823913,2.057449283,1,0.56,0.7
33,0.456059381,275.64768,16,210.6294195,1.313372322,2,0.56,0
33,0.396698877,153.1376,17,167.2618303,1.224655794,3,0.315,0
33,0.472923384,275.64768,15,189.0766621,1.129843395,1,0.56,0.7
33,0.472446526,275.64768,16,189.6649636,1.155542026,2,0.56,0
33,0.366190269,153.1376,17,199.4233421,1.096380779,3,0.315,0
33,0.49279266,275.64768,15,165.5759313,1.306961321,1,0.56,0.7
33,0.494980753,275.64768,16,163.1032533,1.120398568,2,0.56,0
