economy,pc_tmp_low,pc_tmp_high,tmp,lgt,daylt,choice,plug
450,0,0,1,-0.2,100,0,0
4900,0,0,0,0.2,100,1,0
-9500,0,2,1,0.2,76,1,0
-800,-1,2,5,-0.3,76,1,0
9000,0,-1,1,0.55,76,0,0
50,0,-1,0,0.15,76,1,0
4900,0,1,0,-0.2,76,1,0
-9000,-1,1,3,0.4,76,1,0
-4500,0,-2,2,0.5,76,1,0
-950,-2,1,1,0.35,76,1,0
6800,0,-1,-5,-0.2,81,1,0
-1900,0,-1,-2,0.2,81,0,0
-5000,0,1,-1,0.3,81,1,0
0,0,2,1,-0.7,81,0,0
6950,0,0,0,0.35,81,1,0
6950,1,0,1,0,81,1,0
800,0,0,0,0,81,0,0
-150,0,-2,-2,-0.55,81,0,0
4500,0,3,2,-0.2,81,1,0
-50,0,2,4,-0.5,81,0,0
-400,-2,0,-1,-0.55,81,0,0
-6500,0,2,-3,0.3,81,0,0
0,-2,2,6,0,81,0,0
-100,0,-2,1,0,81,0,0
-6000,3,-1,-5,-0.35,81,0,0
100,0,1,-1,0.4,81,0,0
6800,-1,3,4,0.5,52,1,0
-2000,0,0,-3,-0.4,52,0,0
-4000,0,-1,1,-0.2,52,0,0
-9500,0,1,-1,0.15,52,0,0
-9950,0,0,-2,0.7,52,0,0
-6000,0,2,-1,-0.15,52,0,0
6900,1,-1,-6,0.55,52,1,0
4800,-2,3,3,-0.5,52,1,0
0,0,2,-3,0.55,70,0,0
-4500,0,-3,-1,0.2,70,0,0
-100,0,-1,2,-0.2,70,0,0
8000,0,3,6,0.55,70,0,0
-5000,-3,3,5,0,70,0,0
-4950,1,0,0,0,70,0,0
-950,0,-1,0,0,70,0,0
-950,0,-1,2,-0.7,70,0,0
6950,0,-2,1,-0.15,80,1,0
-4800,2,-3,-5,-0.3,80,0,0
-3000,0,2,-1,-0.15,80,1,0
4800,-1,0,1,-0.55,80,1,0
4950,3,-1,-4,0.3,80,1,0
6900,0,1,3,0.2,80,1,0
150,1,-1,-5,0.35,80,1,0
9800,-1,3,4,0,80,1,0
0,0,0,0,0.2,73,1,0
4000,-1,3,6,-0.35,73,0,0
-800,0,-3,4,0.15,73,0,0
-6950,-3,1,5,0.3,73,0,0
-4900,1,0,-4,0.4,73,0,0
-6500,1,0,-1,0.7,73,0,0
2000,-3,2,1,0,73,0,0
9900,-3,0,3,0,73,1,0
4900,0,1,0,-0.4,83,1,0
4500,-2,0,2,0,83,0,0
100,3,-3,-4,0.3,83,1,0
4900,-1,2,2,-0.15,83,1,0
4900,1,-3,-5,0.2,83,1,0
-1800,-2,2,4,-0.15,83,0,0
-400,0,-1,2,-0.5,83,0,0
6000,0,0,-3,0.35,83,1,0
-5000,-2,0,0,0.35,76,0,0
1800,0,-1,-2,-0.2,76,1,0
-9000,0,1,4,0,76,1,0
0,0,2,2,-0.2,76,0,0
-4800,-3,1,5,0,76,1,0
-6800,0,2,6,-0.15,76,0,0
900,0,1,-1,-0.7,76,1,0
50,1,0,0,-0.2,76,0,0
-1000,0,-3,3,0,89,0,0
-6950,0,2,3,0.2,89,1,0
-9900,0,0,-3,-0.35,89,0,0
9950,2,0,-1,0,89,1,0
-1000,0,-1,-1,0,89,0,0
900,-2,0,5,-0.15,89,1,0
9500,0,0,0,0.5,89,1,0
0,2,0,-1,-0.4,89,0,0
-1800,-1,1,6,-0.2,100,0,0
4800,3,0,2,0.15,100,1,0
800,0,0,-2,-0.3,100,1,0
-6500,3,0,-1,0.35,100,0,0
-400,0,2,-3,-0.4,100,0,0
-150,0,0,1,0.2,100,1,0
4000,0,2,3,0.3,100,0,0
-5000,0,2,5,0.2,100,0,0
8000,0,3,0,-0.15,35,1,0
-6800,0,-1,2,0,35,0,0
8000,0,0,-1,0.15,35,1,0
-1900,2,0,0,0.3,35,0,0
-3000,0,2,2,0,35,0,0
-1500,0,2,1,0,35,0,0
0,0,-2,3,-0.15,35,1,0
4950,0,-1,0,-0.4,35,1,0
8000,1,0,-6,0.15,64,0,0
0,0,-1,0,-0.15,64,0,0
9900,0,-2,0,0,64,0,0
6900,0,1,3,0.7,64,0,0
-2000,0,-1,-1,-0.5,64,1,0
6800,0,3,4,0.7,64,0,0
-9950,0,0,0,0.15,64,1,0
1900,0,3,0,0.7,64,0,0
-4000,0,1,-2,-0.2,59,0,0
1500,0,-1,2,0,59,1,0
-50,0,-1,4,-0.15,59,0,0
0,-2,0,4,-0.3,59,0,0
1950,-2,1,2,0.4,59,0,0
500,-2,3,4,-0.3,59,1,0
-4900,2,-1,-4,0.7,59,1,0
-6000,0,-1,-2,-0.2,59,0,0
1800,-2,0,5,0.2,55,0,0
2000,0,1,-3,0,55,1,0
150,0,0,-5,0,55,0,0
-6000,0,1,7,0.2,55,0,0
6900,3,-1,-4,0.7,55,1,0
1500,-3,0,-1,0.2,55,0,0
5000,0,-1,0,0.15,55,0,0
-1950,0,2,2,-0.15,55,0,0
-900,1,0,1,0.55,44,0,0
0,3,-3,-1,0,44,0,0
-1500,0,-2,2,0.55,44,0,0
2000,0,1,0,-0.7,44,1,0
2000,0,0,0,-0.4,44,1,0
-8000,0,0,2,-0.15,44,1,0
50,3,0,1,-0.35,44,0,0
-9800,0,-1,1,0.15,44,0,0
900,-2,0,4,-0.4,83,0,0
-8000,-2,0,4,0.2,83,0,0
-6500,1,-2,-6,0.55,83,0,0
2000,2,-1,-5,0.15,83,0,0
-4000,0,0,-1,0,83,1,0
1800,-1,2,5,-0.7,83,0,0
950,0,0,5,-0.35,83,0,0
500,0,-2,0,-0.3,83,0,0
150,0,0,2,-0.15,20,1,0
-9900,0,-1,1,0.2,20,0,0
