datetime,ID,Vintages,Day.type,Day.number,Hour.number,Climate.zone,Demand.Power.sf.,Indoor.Temp.F.,Tzonei,Nat.Lt.,Base.Lt.,Indoor.Humid.,Outdoor.Temp.F.,Outdoor.Humid.,Outdoor.Sky.Clearness.,Occ.Fraction.,Cooling.Setpoint.,Lighting.Power.pct.,Ventilation.pct.,MELs.pct.
2006-03-31 22:00:00,21,2004,1,1,0,3A,35.289297174562265,73.42251275952725,76.26533857918974,0.0,0.1,30.876738739051607,54.68,57.0,0.0,0.0485626992905455,24.0,0.1,0.0,0.4
2006-03-31 23:00:00,21,2004,1,1,0,3A,32.52111147469246,73.62305267781909,77.00312516253564,0.0,0.05,31.158807346107448,54.14,55.0,0.0,0.0485626992905455,24.0,0.05,0.0,0.4
2006-04-01 00:00:00,21,2004,1,1,0,3A,32.51426124092568,73.54139726518528,77.09873701036379,0.0,0.05,,53.78,57.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-01 01:00:00,21,2004,1,1,0,3A,32.51426124092568,73.54125617961718,77.08647662063774,0.0,0.05,,53.24,53.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-01 02:00:00,21,2004,1,1,0,3A,32.51426124092568,73.49834854832596,77.0274662983012,0.0,0.05,,52.879999999999995,64.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-01 03:00:00,21,2004,1,1,0,3A,32.51426124092568,73.39041757843088,76.94748193917872,0.0,0.05,,52.34,64.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-01 04:00:00,21,2004,1,1,0,3A,32.51426124092568,73.28969956502067,76.86347661171735,0.0,0.05,,51.98,61.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-01 05:00:00,21,2004,1,1,0,3A,35.28244694079548,73.3180543233483,76.81573090498789,0.0,0.1,,53.96,57.0,0.0,0.0,24.0,0.1,0.0,0.4
2006-04-01 06:00:00,21,2004,1,1,0,3A,93.28066428327537,71.15794843270467,73.59902469793963,0.0,0.3,32.930640442747965,55.04,57.0,0.0,0.097125398581091,24.0,0.3,0.0,0.4
2006-04-01 07:00:00,21,2004,1,1,0,3A,113.4173723718571,71.34646211388048,73.85614783838588,0.0,0.9,31.56659744334077,55.04,55.0,0.0,0.097125398581091,24.0,0.9,1.0,0.4
2006-04-01 08:00:00,21,2004,1,1,0,3A,105.30100457679039,71.6886211103339,74.5039952710641,110.73906094988656,0.9,34.57473381650512,51.08,83.0,1.020892885610423,0.291376195743273,24.0,0.9,1.0,0.9
2006-04-01 09:00:00,21,2004,1,1,0,3A,97.47726917322596,71.78958469336197,74.55877472027892,441.7072944892876,0.9,33.037617072095834,55.04,59.0,1.011175370317207,0.291376195743273,24.0,0.9,1.0,0.9
2006-04-01 10:00:00,21,2004,1,1,0,3A,96.82841169311061,71.83965609499103,74.62414439983289,413.9736046118689,0.9,31.352069953946557,55.94,51.0,1.019136017317074,0.291376195743273,24.0,0.9,1.0,0.9
2006-04-01 11:00:00,21,2004,1,1,0,3A,94.68471735158857,71.92942427780469,74.66007719637066,536.9266689472715,0.9,32.22060952456374,55.94,57.0,1.025608154880111,0.291376195743273,24.0,0.9,1.0,0.9
2006-04-01 12:00:00,21,2004,1,1,0,3A,89.52606824720695,71.92224773504489,74.39550946891669,999.928360810186,0.9,31.598866020645733,60.08,50.0,1.006573514209856,0.097125398581091,24.0,0.9,1.0,0.8
2006-04-01 13:00:00,21,2004,1,1,0,3A,89.08250086273952,72.19642730624479,74.5499560155925,1207.0410048676974,0.9,31.510196717221145,60.980000000000004,50.0,1.28118380461776,0.097125398581091,24.0,0.9,1.0,0.9
2006-04-01 14:00:00,21,2004,1,1,0,3A,89.85208162280274,72.15129934071115,74.58261467438324,847.4981739352895,0.9,31.872048414230534,62.959999999999994,48.0,1.010406778086179,0.097125398581091,24.0,0.9,1.0,0.9
2006-04-01 15:00:00,21,2004,1,1,0,3A,89.2724326231767,72.27054605445342,74.64199934949866,1068.0512429419673,0.9,32.35815737960711,62.959999999999994,50.0,1.054262665211186,0.097125398581091,24.0,0.9,1.0,0.9
2006-04-01 16:00:00,21,2004,1,1,0,3A,90.39235263311203,72.21127817088546,74.71157087982051,772.099806532966,0.9,32.70759745791987,62.959999999999994,50.0,0.999999763501536,0.097125398581091,24.0,0.9,1.0,0.9
2006-04-01 17:00:00,21,2004,1,1,0,3A,58.749036157122774,71.1052350103448,73.89120032886605,715.5809133183676,0.5,35.55253103570387,64.04,52.0,1.004071068143201,0.0485626992905455,24.0,0.5,1.0,0.5
2006-04-01 18:00:00,21,2004,1,1,0,3A,27.82260930833052,73.73336607028031,76.00334816106016,266.6005327983508,0.3,32.65424234525275,62.959999999999994,54.0,1.003593648072176,0.0485626992905455,24.0,0.3,1.0,0.4
2006-04-01 19:00:00,21,2004,1,1,0,3A,30.57606554900626,74.14269572681408,76.75179698194867,96.0872121730103,0.3,,62.959999999999994,54.0,0.9999993343879522,0.0,24.0,0.3,1.0,0.4
2006-04-01 20:00:00,21,2004,1,1,0,3A,40.81881834053506,74.05443496135594,76.80294823874496,0.0,0.2,,60.980000000000004,65.0,0.0,0.0,24.0,0.2,1.0,0.4
2006-04-01 21:00:00,21,2004,1,1,0,3A,40.81881834053506,73.94011541581845,76.96287591035023,0.0,0.2,,59.0,70.0,0.0,0.0,24.0,0.2,1.0,0.4
2006-04-01 22:00:00,21,2004,1,1,0,3A,35.28244694079548,73.79777381513006,76.89872966767021,0.0,0.1,,59.0,67.0,0.0,0.0,24.0,0.1,0.0,0.4
2006-04-01 23:00:00,21,2004,1,1,0,3A,32.51426124092568,73.56744712168945,76.77227735809186,0.0,0.05,,57.92,70.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-02 00:00:00,21,2004,1,1,0,3A,32.51426124092568,73.51584788331206,76.69918465769791,0.0,0.05,,59.0,65.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-02 01:00:00,21,2004,1,1,0,3A,32.51426124092568,73.3497775829401,76.64202274938737,0.0,0.05,,59.0,67.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-02 02:00:00,21,2004,1,1,0,3A,32.51426124092568,73.35097202757599,76.57580404249785,0.0,0.05,,59.0,67.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-02 03:00:00,21,2004,1,1,0,3A,32.51426124092568,73.43607845503765,76.50754420742116,0.0,0.05,,59.0,72.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-02 04:00:00,21,2004,1,1,0,3A,32.51426124092568,73.24104892469902,76.44106561152944,0.0,0.05,,55.94,87.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-02 05:00:00,21,2004,1,1,0,3A,35.28244694079548,73.10184170236018,76.41100457196598,0.0,0.1,,55.94,90.0,0.0,0.0,24.0,0.1,0.0,0.4
2006-04-02 06:00:00,21,2004,1,1,0,3A,46.36203997404141,73.36736788392878,76.56340742251311,0.0,0.3,41.07033198629212,55.94,93.0,0.0,0.0485626992905455,24.0,0.3,0.0,0.4
2006-04-02 07:00:00,21,2004,1,1,0,3A,65.19526837247885,73.90377648711117,77.03100659797039,0.0,0.9,42.474051375092756,55.04,96.0,0.9999985749761091,0.0485626992905455,24.0,0.9,1.0,0.4
2006-04-02 08:00:00,21,2004,1,1,0,3A,82.23262338110668,74.61449687926702,78.01908146791062,100.21661453273784,0.9,42.15368082876411,55.94,100.0,0.9999992412844283,0.0485626992905455,24.0,0.9,1.0,0.9
2006-04-02 09:00:00,21,2004,1,1,0,3A,70.69439829843242,75.07523547773887,78.15581607882866,290.3666090599865,0.9,42.77243881098967,60.08,97.0,1.004010299656582,0.0485626992905455,24.0,0.9,1.0,0.9
2006-04-02 10:00:00,21,2004,1,1,0,3A,69.53047394065827,74.11383129248392,78.41719730862923,826.992099474859,0.9,46.37023828830492,62.959999999999994,90.0,1.002066604346055,0.0485626992905455,24.0,0.9,1.0,0.9
2006-04-02 11:00:00,21,2004,1,1,0,3A,59.67613234971951,76.28731263085028,78.61278283313233,1338.193632037603,0.9,44.6536790565742,69.98,76.0,1.264171506334333,0.0485626992905455,24.0,0.9,1.0,0.9
2006-04-02 12:00:00,21,2004,1,1,0,3A,75.06928445025582,75.12800264044161,76.04929370968158,1378.4528303943478,0.9,47.9508952769963,71.96,73.0,1.319828281124178,0.0485626992905455,24.0,0.9,1.0,0.8
2006-04-02 13:00:00,21,2004,1,1,0,3A,59.67613234971953,76.5127724858697,78.19199714989573,692.0730184473454,0.9,47.56636204567432,71.96,73.0,1.016115485359214,0.0485626992905455,24.0,0.9,1.0,0.9
2006-04-02 14:00:00,21,2004,1,1,0,3A,89.3583738879645,74.17376821065129,75.92300653277302,1162.2340980000006,0.9,51.22613988977408,73.04,69.0,1.365933950520897,0.0485626992905455,24.0,0.9,1.0,0.9
2006-04-02 15:00:00,21,2004,1,1,0,3A,59.67613234971953,76.69813245561636,78.29975799083023,911.5832581113149,0.9,48.120846854421394,75.92,62.0,1.0301763345541,0.0485626992905455,24.0,0.9,1.0,0.9
2006-04-02 16:00:00,21,2004,1,1,0,3A,79.88012780830198,75.44404215124786,76.3581319333301,667.3010970811567,0.9,50.83583775568226,75.02,64.0,1.024322728099562,0.0485626992905455,24.0,0.9,1.0,0.9
2006-04-02 17:00:00,21,2004,1,1,0,3A,34.35071927858795,76.5224997822244,77.61236213511356,710.1077125360687,0.5,50.02300406697378,77.0,60.0,1.161224927283894,0.0485626992905455,24.0,0.5,1.0,0.5
2006-04-02 18:00:00,21,2004,1,1,0,3A,27.57178876658135,76.6755469393927,78.00742895945615,290.18978720960524,0.3,,75.92,60.0,1.063542486588327,0.0,24.0,0.3,1.0,0.4
2006-04-02 19:00:00,21,2004,1,1,0,3A,30.30683542178259,76.64323173364875,78.17499529586769,114.61940871628367,0.3,,73.94,64.0,1.005680342622398,0.0,24.0,0.3,1.0,0.4
2006-04-02 20:00:00,21,2004,1,1,0,3A,40.81881834053506,76.29714555564091,78.20663491821085,0.0,0.2,,71.06,71.0,0.0,0.0,24.0,0.2,1.0,0.4
2006-04-02 21:00:00,21,2004,1,1,0,3A,40.81881834053506,76.17912553419234,78.25635045282519,0.0,0.2,,71.06,71.0,0.0,0.0,24.0,0.2,1.0,0.4
2006-04-02 22:00:00,21,2004,1,1,0,3A,35.28244694079548,76.05115661245804,78.20982696961227,0.0,0.1,,71.06,76.0,0.0,0.0,24.0,0.1,0.0,0.4
2006-04-02 23:00:00,21,2004,1,1,0,3A,32.51426124092568,75.83803592041087,78.14040746696551,0.0,0.05,,69.98,76.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-03 00:00:00,21,2004,1,1,0,3A,32.51426124092568,75.73009732886983,78.11231916178251,0.0,0.05,,69.98,79.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-03 01:00:00,21,2004,1,1,0,3A,32.51426124092568,75.61135474145935,78.09914902351885,0.0,0.05,,69.98,79.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-03 02:00:00,21,2004,1,1,0,3A,32.51426124092568,75.62114879964726,78.08205873244694,0.0,0.05,,69.98,79.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-03 03:00:00,21,2004,1,1,0,3A,32.51426124092568,75.51987921694962,78.0633464212529,0.0,0.05,,69.08,81.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-03 04:00:00,21,2004,1,1,0,3A,32.51426124092568,75.40301504228582,78.0454700260521,0.0,0.05,,69.08,81.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-03 05:00:00,21,2004,1,1,0,3A,35.28244694079548,75.13463925375548,78.0630104990917,0.0,0.1,,64.94,93.0,0.0,0.0,24.0,0.1,0.0,0.4
2006-04-03 06:00:00,21,2004,1,1,0,3A,100.0496611753561,71.62925077093192,74.25435209597146,0.0,0.3,55.53175258117973,59.0,90.0,0.0,0.097125398581091,24.0,0.3,0.0,0.4
2006-04-03 07:00:00,21,2004,1,1,0,3A,110.1480028222593,72.05045388826647,74.94729392807865,0.0,0.9,51.00678899816673,57.92,90.0,1.020095520528765,0.194250797162182,24.0,0.9,1.0,0.4
2006-04-03 08:00:00,21,2004,1,1,0,3A,130.0617664620793,72.83308001219739,75.19676894423137,112.35155979244827,0.9,51.40458213343332,57.02,96.0,1.006898680090374,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-03 09:00:00,21,2004,1,1,0,3A,113.3094815646036,72.93891182511572,75.19885323315924,323.3770447294106,0.9,52.92797823165165,59.0,100.0,1.014821061644124,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-03 10:00:00,21,2004,1,1,0,3A,108.9055829402113,73.01842411739611,75.19766403707617,378.9759434842153,0.9,52.89485974825979,60.08,93.0,1.00836205124496,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-03 11:00:00,21,2004,1,1,0,3A,103.1985661789532,73.16754652722543,75.19725258287197,611.2598118308525,0.9,52.018860770654605,59.0,93.0,1.016335941890619,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-03 12:00:00,21,2004,1,1,0,3A,110.441861446896,72.69213139347754,75.19889891625434,607.9298095023939,0.9,51.553564459758874,60.08,93.0,1.010823924483376,0.48562699290545497,24.0,0.9,1.0,0.8
2006-04-03 13:00:00,21,2004,1,1,0,3A,106.2970882223873,73.52713384181051,75.19878663862302,1089.5277095909205,0.9,50.53478134037211,60.08,93.0,1.002032266049529,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-03 14:00:00,21,2004,1,1,0,3A,102.2879136670782,73.71875413845137,75.19776314529419,1215.229350490367,0.9,51.08896625252836,60.08,93.0,1.00364952555844,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-03 15:00:00,21,2004,1,1,0,3A,101.36472915868491,73.69384497463453,75.19704574010855,1038.4722015605337,0.9,50.694122739020656,60.08,87.0,0.9999997937914676,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-03 16:00:00,21,2004,1,1,0,3A,106.3802090592813,73.7908693560522,75.19712669558251,1055.2544411783292,0.9,50.08933470794283,62.059999999999995,81.0,1.001799600606199,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-03 17:00:00,21,2004,1,1,0,3A,90.4836892333131,72.7453355954305,75.04731203441312,755.0519578132224,0.5,49.85007355254836,62.959999999999994,81.0,1.001948432937022,0.291376195743273,24.0,0.5,1.0,0.5
2006-04-03 18:00:00,21,2004,1,1,0,3A,61.56258484398657,72.46872151734776,74.529113793603,1277.7598249511452,0.3,48.37295917359696,62.059999999999995,84.0,1.97406017771173,0.097125398581091,24.0,0.3,1.0,0.4
2006-04-03 19:00:00,21,2004,1,1,0,3A,64.47545008027748,72.04517990561575,74.39311340495794,161.40965996150533,0.3,48.057523675224715,60.980000000000004,87.0,1.217552979097196,0.097125398581091,24.0,0.3,1.0,0.4
2006-04-03 20:00:00,21,2004,1,1,0,3A,76.66334266611513,71.70763962518183,74.17471713598682,0.0,0.2,47.671296364986105,60.08,87.0,0.0,0.097125398581091,24.0,0.2,1.0,0.4
2006-04-03 21:00:00,21,2004,1,1,0,3A,76.94290408162318,71.52479876224966,74.03021475153824,0.0,0.2,47.6120586409752,59.0,90.0,0.0,0.097125398581091,24.0,0.2,1.0,0.4
2006-04-03 22:00:00,21,2004,1,1,0,3A,35.289297174562265,73.5766389912169,76.29556647201404,0.0,0.1,45.91964811362203,57.92,93.0,0.0,0.0485626992905455,24.0,0.1,0.0,0.4
2006-04-03 23:00:00,21,2004,1,1,0,3A,32.52111147469246,73.78978353826322,77.04675930142776,0.0,0.05,46.868764947822555,57.02,93.0,0.0,0.0485626992905455,24.0,0.05,0.0,0.4
2006-04-04 00:00:00,21,2004,1,1,0,3A,32.51426124092568,73.86627968375791,77.15839011641152,0.0,0.05,,57.02,96.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-04 01:00:00,21,2004,1,1,0,3A,32.51426124092568,73.90057811487083,77.16739879795145,0.0,0.05,,57.02,96.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-04 02:00:00,21,2004,1,1,0,3A,32.51426124092568,73.91353688745511,77.13144647451035,0.0,0.05,,57.92,93.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-04 03:00:00,21,2004,1,1,0,3A,32.51426124092568,73.93149410063012,77.07542224456579,0.0,0.05,,59.0,93.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-04 04:00:00,21,2004,1,1,0,3A,32.51426124092568,74.0718956108502,77.01680243120362,0.0,0.05,,60.08,93.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-04 05:00:00,21,2004,1,1,0,3A,35.28244694079548,73.86131629350436,76.99649580674276,0.0,0.1,,60.08,93.0,0.0,0.0,24.0,0.1,0.0,0.4
2006-04-04 06:00:00,21,2004,1,1,0,3A,99.35820153553125,71.24556082675227,73.70602019419523,0.0,0.3,48.99955843721787,60.08,97.0,0.0,0.097125398581091,24.0,0.3,0.0,0.4
2006-04-04 07:00:00,21,2004,1,1,0,3A,119.3657660259148,71.59109765142085,74.09656840559,0.0,0.9,51.38142037572116,62.059999999999995,97.0,1.168710566662226,0.194250797162182,24.0,0.9,1.0,0.4
2006-04-04 08:00:00,21,2004,1,1,0,3A,126.88761244327,72.429803473604,75.0682662867392,385.0592095802313,0.9,54.298762771972605,64.94,90.0,1.085784954849653,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-04 09:00:00,21,2004,1,1,0,3A,111.9215321125492,72.87061757986336,75.17028847672789,1026.1051012651023,0.9,55.50353676881065,69.08,84.0,1.3429106280073,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-04 10:00:00,21,2004,1,1,0,3A,110.5259650123798,73.15483666462433,75.1972347015906,905.5738770041118,0.9,55.77794889218375,69.98,81.0,1.224208707275688,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-04 11:00:00,21,2004,1,1,0,3A,115.7562979166391,73.55323480016735,75.19887068722225,1099.6477173376877,0.9,56.04887201766867,73.04,74.0,1.015257753225533,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-04 12:00:00,21,2004,1,1,0,3A,117.4848944120465,73.08484989144912,75.09369509727085,854.5127583854154,0.9,56.133911845114554,73.04,71.0,1.049301834154588,0.48562699290545497,24.0,0.9,1.0,0.8
2006-04-04 13:00:00,21,2004,1,1,0,3A,119.5649507738879,73.91056907835133,75.1961740758703,1031.4377028219915,0.9,55.35422275209555,73.94,71.0,1.008623422894006,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-04 14:00:00,21,2004,1,1,0,3A,119.4596222006729,74.2860567754536,75.19824389433457,1213.585671948087,0.9,55.00587839937679,77.0,64.0,1.999893144633001,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-04 15:00:00,21,2004,1,1,0,3A,119.44380023407409,74.24090854173454,75.19746352040049,770.1757677611814,0.9,55.66273573592674,78.08,60.0,1.02470590133546,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-04 16:00:00,21,2004,1,1,0,3A,122.4657643779254,74.27487834141479,75.19724036985096,848.075424783431,0.9,55.40372487714362,78.08,58.0,1.067026238125689,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-04 17:00:00,21,2004,1,1,0,3A,99.35293778265242,73.16511048277147,74.74207977400415,603.8844732082612,0.5,54.77406388129657,78.08,54.0,1.031706451382043,0.291376195743273,24.0,0.5,1.0,0.5
2006-04-04 18:00:00,21,2004,1,1,0,3A,74.4752323263057,72.62149611546121,74.26412605487272,311.88166317465055,0.3,53.42948981678155,77.0,56.0,1.019246600721928,0.097125398581091,24.0,0.3,1.0,0.4
2006-04-04 19:00:00,21,2004,1,1,0,3A,75.5808209229508,72.24876200538782,74.13135397673142,73.3226868260781,0.3,52.37629531635039,75.92,56.0,1.025454285450597,0.097125398581091,24.0,0.3,1.0,0.4
2006-04-04 20:00:00,21,2004,1,1,0,3A,86.83445118703233,71.98969617143035,73.96169426604196,0.0,0.2,51.83741587549619,75.02,60.0,0.0,0.097125398581091,24.0,0.2,1.0,0.4
2006-04-04 21:00:00,21,2004,1,1,0,3A,83.76064766852834,71.74668941704377,73.84204484666235,0.0,0.2,51.437748776567375,68.0,76.0,0.0,0.097125398581091,24.0,0.2,1.0,0.4
2006-04-04 22:00:00,21,2004,1,1,0,3A,35.289297174562265,74.03493802564336,76.14862998531014,0.0,0.1,49.331726114550115,62.059999999999995,93.0,0.0,0.0485626992905455,24.0,0.1,0.0,0.4
2006-04-04 23:00:00,21,2004,1,1,0,3A,32.52111147469246,74.18492374204125,76.97485237140738,0.0,0.05,50.68471589372139,60.980000000000004,90.0,0.0,0.0485626992905455,24.0,0.05,0.0,0.4
2006-04-05 00:00:00,21,2004,1,1,0,3A,32.51426124092568,74.14833390798145,77.03110863486523,0.0,0.05,,57.92,96.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-05 01:00:00,21,2004,1,1,0,3A,32.51426124092568,74.07020534719211,77.20078745612003,0.0,0.05,,57.02,93.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-05 02:00:00,21,2004,1,1,0,3A,32.51426124092568,73.68371346937022,77.1611994372609,0.0,0.05,,55.04,90.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-05 03:00:00,21,2004,1,1,0,3A,32.51426124092568,73.56200164827982,77.11072243947535,0.0,0.05,,53.96,93.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-05 04:00:00,21,2004,1,1,0,3A,32.51426124092568,73.41166076110648,77.05729714998573,0.0,0.05,,53.06,93.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-04-05 05:00:00,21,2004,1,1,0,3A,35.28244694079548,73.03250389550087,77.03473604462528,0.0,0.1,,53.06,90.0,0.0,0.0,24.0,0.1,0.0,0.4
2006-04-05 06:00:00,21,2004,1,1,0,3A,100.6910800361498,71.17257857785013,73.71687534812037,0.0,0.3,47.2477474746101,50.0,74.0,0.0,0.097125398581091,24.0,0.3,0.0,0.4
2006-04-05 07:00:00,21,2004,1,1,0,3A,103.7304231445726,71.14253052481098,74.03869075676494,0.0,0.9,40.74853970453989,48.02,71.0,1.067977879608133,0.194250797162182,24.0,0.9,1.0,0.4
2006-04-05 08:00:00,21,2004,1,1,0,3A,113.5998094613745,72.06340043617983,75.06640893577995,280.70491694790434,0.9,39.5598257758569,48.92,66.0,1.041948089774748,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-05 09:00:00,21,2004,1,1,0,3A,94.277979566692,72.53032794930017,75.1738999094758,1696.7449450035879,0.9,38.155025238690754,50.0,64.0,3.118876501476202,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-05 10:00:00,21,2004,1,1,0,3A,88.31340795452299,72.46198575451577,75.1950592384182,855.3925868443846,0.9,37.65207563140315,51.08,61.0,1.345565936375344,0.9226912865203643,24.0,0.9,1.0,0.9
